Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Determination of Priority Actions for the Further Elaboration and Implementation of the Strategic Action Programme for the Mediterranean Sea,461,Albania,International Waters,Full-size Project,United Nations Environment Programme,6060000,5925000,Completed,2000,GEF Trust Fund,No,No,GEF - 1,11985000
Conservation of Wetland and Coastal Ecosystems in the Mediterranean Region,410,Albania,Biodiversity,Full-size Project,United Nations Development Programme,13273200,28620900,Completed,1999,GEF Trust Fund,No,No,GEF - 1,41894100
Enabling Albania to Prepare its First National Communication in Response to its Commitments to UNFCCC,291,Albania,Climate Change,Enabling Activity,United Nations Development Programme,278000,0,Completed,1996,GEF Trust Fund,No,No,GEF - 1,278000
"Biodiversity Strategy, Action Plan and National Report",132,Albania,Biodiversity,Enabling Activity,The World Bank,96000,0,Completed,1996,GEF Trust Fund,No,No,GEF - 1,96000
Lake Ohrid Management,113,Albania,International Waters,Full-size Project,The World Bank,4100000,21270000,Completed,1998,GEF Trust Fund,No,No,GEF - 1,25370000
Participation in the Clearing House Mechanism of the CBD,43,Albania,Biodiversity,Enabling Activity,The World Bank,14000,0,Completed,1999,GEF Trust Fund,No,No,GEF - 2,14000
Eighth Operational Phase of the GEF Small Grants Programme (Tranche 2),11726,Algeria,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,65420307,65420307,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,130840614
"Support to the elaboration of the First Biennial Transparency Report (BTR1), the combined Second Biennial Transparency and the Fourth National Communication report (BTR2/NC4) of Algeria to the UNFCCC",11485,Algeria,Climate Change,Enabling Activity,United Nations Development Programme,1233000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,1233000
Child Project of the Global Clean Hydrogen Programme of Algeria,11438,Algeria,Climate Change,Medium-size Project,United Nations Industrial Development Organization,634932,2152500,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,2787432
Global Clean Hydrogen Programme,11437,Algeria,Climate Change,PFD,United Nations Industrial Development Organization,0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Reshaping Algeria’s Cities for a Clean and Healthy Environment Today and Tomorrow (REACT),11345,Algeria,"Biodiversity, Climate Change, Land Degradation",Full-size Project,Food and Agriculture Organization,2958103,100000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,102958103
Sustainable Cities Integrated Program,11287,Algeria,,PFD,"The World Bank, United Nations Industrial Development Organization, Food and Agriculture Organization, United Nations Development Programme, West African Development Bank, United Nations Environment Programme, International Union for Conservation of Nature, Development Bank of Southern Africa, Inter-American Development Bank",0,0,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,0
Umbrella Programme to Support NBSAP Update and the 7th National Reports,11286,Algeria,Biodiversity,Enabling Activity,United Nations Development Programme,35600000,0,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,35600000
Eighth Operational Phase of the GEF Small Grants Programme (Part 1),11285,Algeria,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,126186603,35000000,Project Approved,2024,GEF Trust Fund,No,No,GEF - 8,161186603
"Restoration and sustainable forest management of the Algerian Aleppo pine forest, ecosystem",11179,Algeria,"Biodiversity, Climate Change, Land Degradation",Full-size Project,United Nations Development Programme,3502968,24000000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 8,27502968
Umbrella Programme to Support Development of Biodiversity Finance Plans,11054,Algeria,Biodiversity,Enabling Activity,United Nations Development Programme,38190000,0,Project Approved,2023,GEF Trust Fund,No,No,GEF - 8,38190000
Global Biodiversity Framework Early Action Support (Arab States 5),11027,Algeria,Biodiversity,Enabling Activity,United Nations Development Programme,1917811,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1917811
Strengthening national-level institutional and professional capacities of country Parties towards enhanced UNCCD monitoring and reporting – GEF 7 EA Umbrella IV,10958,Algeria,Land Degradation,Enabling Activity,United Nations Environment Programme,1826480,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,1826480
"Review and Update of the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants (POPs) in Algeria, Togo and Tunisia",10925,Algeria,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,939900,0,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,939900
Support to Preparation of the Fourth National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,10638,Algeria,Biodiversity,Enabling Activity,United Nations Environment Programme,1287000,1246750,Project Approved,2020,GEF Trust Fund,No,No,GEF - 7,2533750
Fisheries and Ecosystem Based Management for the Blue Economy of the Mediterranean  - (FishEBM MED),10560,Algeria,"Biodiversity, International Waters",Full-size Project,"Food and Agriculture Organization, United Nations Environment Programme",7273973,72027654,Project Approved,2022,GEF Trust Fund,No,No,GEF - 7,79301627
Integrated forest and biodiversity management for sustainable development in the Biban mountain range,10170,Algeria,"Biodiversity, Land Degradation",Full-size Project,Food and Agriculture Organization,3297260,29220460,Project Approved,2021,GEF Trust Fund,No,No,GEF - 7,32517720
AIM-WELL: Algeria Integrated Management of Waste Energy at the Local Level,10080,Algeria,Climate Change,Full-size Project,United Nations Development Programme,4416210,20250000,Project Approved,2023,GEF Trust Fund,No,No,GEF - 7,24666210
Third National Communication and First Biennial Update Report of Algeria to the UNFCCC,10045,Algeria,Climate Change,Enabling Activity,United Nations Development Programme,852000,2400000,Completed,2018,GEF Trust Fund,No,No,GEF - 6,3252000
GEF Support to UNCCD 2018 National Reporting Process - Umbrella IV,10030,Algeria,Land Degradation,Enabling Activity,United Nations Environment Programme,1598174,300000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,1898174
Support to Eligible Parties to Produce the Sixth National Report to the CBD (6NR - Mixed regions),9829,Algeria,Biodiversity,Medium-size Project,United Nations Development Programme,1963500,1822500,Completed,2017,GEF Trust Fund,No,No,GEF - 6,3786000
Rehabilitation and Integrated Sustainable Development of Algerian Cork Oak Forest Production Landscapes,9806,Algeria,"Biodiversity, Land Degradation",Full-size Project,Food and Agriculture Organization,3411644,24473571,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,27885215
Mediterranean Pollution Hot Spots Investment Project,9717,Algeria,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,5000000,546451400,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,551451400
Mediterranean Coastal Zones Climate Resilience Water Security and Habitat Protection,9687,Algeria,International Waters,Full-size Project,United Nations Environment Programme,7000000,143270231,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,150270231
Mediterranean Sea Basin Environment and Climate Regional Support Project,9686,Algeria,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,2500000,6623920,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,9123920
Reducing  Pollution from Harmful Chemicals and Wastes in Mediterranean Hot Spots and Measuring Progress to Impacts,9684,Algeria,"International Waters, Chemicals and Waste",Full-size Project,United Nations Environment Programme,14250000,53146727,Project Approved,2020,GEF Trust Fund,No,No,GEF - 6,67396727
Enhancing Regional Climate Change Adaptation in the Mediterranean Marine and Coastal Areas,9670,Algeria,Climate Change,Medium-size Project,United Nations Environment Programme,1000000,4891894,Project Approved,2019,Special Climate Change Fund,No,No,GEF - 6,5891894
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Algeria,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
Developing a National Strategy and Legal and Institutional Framework on Access to Genetic Resources and Related Benefit Sharing and Traditional Knowledge in Line with the CBD and Its Nagoya Protocol in Algeria,5808,Algeria,Biodiversity,Medium-size Project,United Nations Development Programme,1940000,5284320,Completed,2015,GEF Trust Fund,No,No,GEF - 5,7224320
"Improving IWRM, Knowledge-based Management and Governance of the Niger Basin and the Iullemeden-Taoudeni/Tanezrouft Aquifer System (NB-ITTAS)",5535,Algeria,International Waters,Full-size Project,"United Nations Development Programme, United Nations Environment Programme",13425000,1071450445,Project Approved,2018,GEF Trust Fund,No,No,GEF - 5,1084875445
MENA: Morocco GEF Social and Integrated Agriculture (ASIMA),5292,Algeria,"Biodiversity, Land Degradation",Full-size Project,The World Bank,6440000,35540000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,41980000
MENA: Desert Ecosystems and Livelihoods Knowledge Sharing and Coordination Project,5186,Algeria,Land Degradation,Medium-size Project,The World Bank,1000000,487500,Completed,2012,GEF Trust Fund,No,No,GEF - 5,1487500
Enabling Activities to Review and Update the National Implementation Plan for the Stockholm Convention on Persistent Organic Pollutants (POPs),5032,Algeria,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,181592,235000,Completed,2012,GEF Trust Fund,No,No,GEF - 5,416592
National Biodiversity Planning to Support the implementation of the CBD 2011-2020 Strategic Plan in Algeria,4987,Algeria,Biodiversity,Enabling Activity,United Nations Development Programme,220000,321600,Completed,2012,GEF Trust Fund,No,No,GEF - 5,541600
Support to GEF Eligible Parties for Alignment of  National Action Programs and Reporting  Process under UNCCD,4829,Algeria,Land Degradation,Full-size Project,United Nations Environment Programme,2830000,2750000,Project Approved,2012,GEF Trust Fund,No,No,GEF - 5,5580000
MED: Sustainable Governance and Knowledge Generation,4001,Algeria,International Waters,Full-size Project,The World Bank,3000000,4400000,Completed,2011,GEF Trust Fund,No,No,GEF - 4,7400000
MED: Integration of Climatic Variability and Change into National Strategies to Implement the ICZM Protocol in the Mediterranean,3990,Algeria,International Waters,Full-size Project,United Nations Environment Programme,2298545,6176400,Completed,2012,GEF Trust Fund,No,No,GEF - 4,8474945
MENARID: Conservation of Globally Significant Biodiversity and Sustainable Use of Ecosystem Services in Algeria’s Cultural Parks,3952,Algeria,"Biodiversity, Land Degradation",Full-size Project,United Nations Development Programme,5387142,21325910,Completed,2011,GEF Trust Fund,No,No,GEF - 4,26713052
MENARID: Reducing Risks to the Sustainable Management of the North West Sahara Aquifer System (NWSAS),3645,Algeria,International Waters,Medium-size Project,United Nations Environment Programme,960000,2266080,Completed,2009,GEF Trust Fund,No,No,GEF - 4,3226080
MENARID: Cross Cutting M & E Functions and Knowledge Management for INRM within the MENARID Programme Framework,3628,Algeria,Land Degradation,Medium-size Project,International Fund for Agricultural Development,667270,1600000,Completed,2009,GEF Trust Fund,No,No,GEF - 4,2267270
"World Bank-GEF Investment Fund for the Mediterranean Sea Large Marine Ecosystem Partnership, Tranche 1, 2nd Installment",3229,Algeria,International Waters,Full-size Project,The World Bank,905000,45000000,Project Approved,2007,GEF Trust Fund,No,No,GEF - 4,45905000
Strategic Partnership for the Mediterranean Large Marine Ecosystem-Regional Component: Implementation of Agreed Actions for the Protection of the Environmental Resources of the Mediterranean Sea and Its Coastal Areas,2600,Algeria,International Waters,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",12891000,36548200,Completed,2008,GEF Trust Fund,No,No,GEF - 4,49439200
Supporting Capacity Building for the Elaboration of National Reports and Country Profiles by African Parties to the UNCCD,2469,Algeria,Land Degradation,Medium-size Project,The World Bank,900000,900000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,1800000
Building Partnerships to Assist Developing Countries to Reduce the Transfer of Harmful Aquatic Organisms in Ships' Ballast Water (GloBallast Partnerships),2261,Algeria,International Waters,Full-size Project,United Nations Development Programme,5688000,17701939,Completed,2007,GEF Trust Fund,No,No,GEF - 4,23389939
CBPF: Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS),2127,Algeria,Biodiversity,Full-size Project,Food and Agriculture Organization,3500000,14446872,Completed,2008,GEF Trust Fund,No,No,GEF - 4,17946872
National Capacity Needs Self-Assessment (NCSA) for Environmenal Management,2086,Algeria,,Enabling Activity,United Nations Environment Programme,198000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,198000
Protection of the North West Sahara Aquifer System (NWSAS) and related humid zones and ecosystems,1851,Algeria,International Waters,Medium-size Project,United Nations Environment Programme,600000,816000,Completed,2002,GEF Trust Fund,No,No,GEF - 3,1416000
Enabling Activities to Facilitate Early Action on the Implementation of the Stockholm Convention on Persistent Organic Pollutants (POPs) in Algeria,1481,Algeria,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,494000,0,Completed,2001,GEF Trust Fund,No,No,GEF - 2,494000
