AID Contribution 000 US$,Magnitude,Latitude,Longitude,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs 000 US$,"Reconstruction Costs, Adjusted 000 US$",Insured Damage 000 US$,"Insured Damage, Adjusted 000 US$",Total Damage 000 US$,"Total Damage, Adjusted 000 US$",CPI,duration,Start Year,Start Year GDP current US$,End Year,End Year GDP current US$
2610.6,11082.144,0.22699999999999995,38.1276,100.0,48.4,15548.6,17640.0,15554.4,59000.0,86308.2,164040.0,295723.4,99140.0,281703.2,10.05081019,1.0,1963.0,2657252578.0,1963.0,2657252578.0
4612.2,1245.0,-6.4686,-25.590200000000003,22.8,100.2,158425.0,1029.4,158387.4,59000.0,86308.2,38840.0,175866.4,248360.0,429565.6,10.05081019,32.0,1963.0,598998418.7,1963.0,598998418.7
4762.6,1245.0,-6.4686,-25.590200000000003,22.8,100.2,158425.0,200.0,200.0,59000.0,86308.2,36320.0,172733.8,248360.0,429565.6,10.05081019,1.0,1963.0,598998418.7,1963.0,598998418.7
983.4,2762.4,0.6591999999999988,29.380200000000002,150.0,117.2,14689.2,5719.2,14689.2,59000.0,86308.2,38840.0,175866.4,35754.2,63468.2,10.05081019,1.0,1963.0,496947904.4,1963.0,496947904.4
983.4,2762.4,0.6591999999999988,29.380200000000002,1000.0,117.2,5000.0,5719.2,5000.0,59000.0,86308.2,36320.0,172733.8,35754.2,63468.2,10.05081019,1.0,1963.0,496947904.4,1963.0,496947904.4
1515.4,16708.2,13.003800000000002,62.49400000000001,1.0,817.8,271518.4,2000.0,2000.0,82600.0,114099.6,110300.0,235808.8,53860.0,174566.4,10.05081019,1.0,1963.0,5505023238.0,1963.0,5505023238.0
675.2,172.2,0.6591999999999985,29.380199999999995,13.4,283.8,13400.0,410.0,13400.0,59000.0,86308.2,36320.0,172733.8,98480.0,188639.4,10.05081019,397.0,1963.0,383904761.9,1964.0,408349206.3
1638.4,319.16,-6.4686,-25.590200000000003,24.0,24.6,172693.8,3032.0,172705.6,59000.0,86308.2,38840.0,175866.4,30000.0,298483.0,10.05081019,1.0,1963.0,678239329.1,1963.0,678239329.1
6124.4,10988.539999999999,22.102600000000002,-41.492200000000004,26.0,132.8,30137.0,62600.0,5324.0,2186589.6,2371549.0,290780.0,540687.4,982800.8,1799896.2,10.05081019,1.0,1963.0,637000000000.0,1963.0,637000000000.0
6124.4,10988.539999999999,22.102600000000002,-41.492200000000004,150.0,132.8,30137.0,62600.0,5324.0,2186589.6,2371549.0,290780.0,540687.4,982800.8,1799896.2,10.05081019,1.0,1963.0,637000000000.0,1963.0,637000000000.0
